Object ID,Name,Class,Parent,Centroid X µm,Centroid Y µm
3f2693b2-a0f0-4cf7-a320-e0a434f69bf7,PathCellObject,,PathAnnotationObject,9.323,3.272
2ded06f5-8e4c-4fde-ac3a-1389435f65e8,PathCellObject,,PathAnnotationObject,25.79,2.116
8bd63621-3279-40f3-8070-7b1e9b96d1c2,Target: CD8,Target: CD8,PathAnnotationObject,99.12,4.957
02f8f7e5-7199-4149-a0eb-1679fa2ac4f1,PathCellObject,,PathAnnotationObject,113.34,4.355
2837c622-9f71-4f0c-9d38-6421e29dc3c2,Target: CD68,Target: CD68,PathAnnotationObject,191.58,3.557
90a77b84-35d0-4c93-8b3e-0172f92cb1e9,Target: CD68,Target: CD68,PathAnnotationObject,213.08,4.854
bfcb9306-26d7-49d3-aaa9-cd629a32cd2d,PathCellObject,,PathAnnotationObject,342.88,5.805
c509fae4-5187-485d-bcd9-54dd42470f65,PathCellObject,,PathAnnotationObject,353.17,3.193
3b062e72-1590-4152-b6da-72c52d6f4084,PathCellObject,,PathAnnotationObject,359.65,7.421
74484bd1-7569-4e38-b977-01c82a2aeabd,PathCellObject,,PathAnnotationObject,370.36,5.473
482d327b-b138-47af-a214-0a769b59c9e4,PathCellObject,,PathAnnotationObject,378.14,3.025
19a13000-e36a-40c6-8aa4-2db5e91023b7,Target: CD3,Target: CD3,PathAnnotationObject,393.5,4.284
402daf98-eb22-4a87-8712-c6a312c44bc2,PathCellObject,,PathAnnotationObject,423.48,5.711
59a8ad6e-2428-4892-a066-30386a203519,PathCellObject,,PathAnnotationObject,441.44,1.929
e26bd27d-e7dc-4e8c-bdb8-a0d46df17379,PathCellObject,,PathAnnotationObject,484.14,2.699
abb21120-c49b-4b4a-903e-1dbeee331082,PathCellObject,,PathAnnotationObject,502.46,2.995
085f320d-3928-42bd-a7e2-5afb92fa61ed,PathCellObject,,PathAnnotationObject,534.88,2.581
b555078e-3a30-4eb7-a19c-101cf4dd3c0d,Target: CD3: CD4,Target: CD3: CD4,PathAnnotationObject,559.56,4.407
c46981f1-f23f-4e56-8966-4fcdd7359dd0,Target: CD3: CD4,Target: CD3: CD4,PathAnnotationObject,571.85,2.843
a45c8c4a-4e9f-4eb3-92c2-67600380c232,Target: CD3: CD4,Target: CD3: CD4,PathAnnotationObject,601.14,1.473
ac73bc01-1138-45d9-8d78-446933ccc653,Target: CD68: CD4: CD8,Target: CD68: CD4: CD8,PathAnnotationObject,649.86,3.588
8d8f0642-0fd5-4fee-9913-5f86263626ed,Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,PathAnnotationObject,664.12,4.007
e9527cda-b774-42a7-9104-d2dcbbb4f690,Target: CD20: CD3: CD4: CD8,Target: CD20: CD3: CD4: CD8,PathAnnotationObject,713,3.8
59d960c8-7c60-4f25-b046-26d2f2fccf6b,Target: CD68: CD4,Target: CD68: CD4,PathAnnotationObject,728.45,1.882
